"ID","MODEL","PAR1","PAR2","PAR3","PAR4","ID.NEW","Group"
"MA0007","2PL",1.48709194438357,1.1782721399711,NA,NA,"MA0001","GM"
"MA0020","2PL",1.39530240840803,0.648731769892205,NA,NA,"MA0002","EE"
"MA0022","2PL",1.58589987729685,0.85711090564857,NA,NA,"MA0003","EE"
"MA0032","2PL",1.77652047796982,-0.0522716339085029,NA,NA,"MA0004","EE"
"MA0041","2PL",1.68621690194983,-0.194045251834695,NA,NA,"MA0005","SP"
"MA0048","2PL",1.57443016999498,0.850541360162294,NA,NA,"MA0006","EE"
"MA0051","2PL",1.52346480694365,1.07280402721661,NA,NA,"MA0007","GM"
"MA0080","2PL",1.65374587573783,-0.392868802978655,NA,NA,"MA0008","NS"
"MA0088","2PL",1.46225326423032,-0.0990102584539593,NA,NA,"MA0009","NS"
"MA0092","2PL",1.56846672914341,1.28027587694952,NA,NA,"MA0010","EE"
"MA0097","2PL",1.54401592643787,-1.33327813636328,NA,NA,"MA0011","SP"
"MA0099","2PL",1.76219453093732,-1.20061135239898,NA,NA,"MA0012","EE"
"MA0107","2PL",1.61774122757126,0.796564261971746,NA,NA,"MA0013","EE"
"MA0118","2PL",1.64543961882822,-0.0825030224182843,NA,NA,"MA0014","NS"
"MA0119","2PL",1.44071393264126,0.854744929961471,NA,NA,"MA0015","FT"
"MA0133","2PL",1.55309757687327,0.899734592114116,NA,NA,"MA0016","FT"
"MA0137","2PL",1.66058027479816,-0.0816159065009153,NA,NA,"MA0017","NS"
"MA0140","2PL",1.72171296868371,0.601261906478936,NA,NA,"MA0018","GM"
"MA0142","2PL",1.7186110898956,1.44740868829144,NA,NA,"MA0019","NS"
"MA0145","2PL",1.50843557495428,-1.18397971871089,NA,NA,"MA0020","SP"
"MA0154","2PL",1.45282321562883,-0.318973159507749,NA,NA,"MA0021","GM"
"MA0163","2PL",1.58143419126671,1.31127601997366,NA,NA,"MA0022","NS"
"MA0168","2PL",1.58855756869827,-1.1540285349418,NA,NA,"MA0023","FT"
"MA0177","2PL",1.42644930089617,1.15439508741104,NA,NA,"MA0024","FT"
"MA0182","2PL",1.55333094113838,1.67374609828917,NA,NA,"MA0025","GM"
"MA0193","2PL",1.5933238055166,-0.772346947068419,NA,NA,"MA0026","SP"
"MA0196","2PL",1.72270689668052,-0.749844516820735,NA,NA,"MA0027","FT"
"MA0207","2PL",1.57588783361184,0.659511985916811,NA,NA,"MA0028","SP"
"MA0221","2PL",1.43781463772012,-1.43736709618364,NA,NA,"MA0029","FT"
"MA0222","2PL",1.57673209725874,0.337908688020481,NA,NA,"MA0030","FT"
"MA0238","2PL",1.50497909845422,-0.572211998694644,NA,NA,"MA0031","GM"
"MA0245","2PL",1.69400556943759,1.23881130016064,NA,NA,"MA0032","EE"
"MA0258","2PL",1.76874206091643,0.572120466520035,NA,NA,"MA0033","SP"
"MA0281","2PL",1.42706198203024,1.07422246627032,NA,NA,"MA0034","GM"
"MA0289","2PL",1.54319329710613,0.798206907948538,NA,NA,"MA0035","FT"
"MA0291","2PL",1.50938973011296,-0.171871475213875,NA,NA,"MA0036","NS"
"MA0292","2PL",1.56631263081026,0.734934575314217,NA,NA,"MA0037","FT"
"MA0295","2PL",1.43745014899931,2.50413552688385,NA,NA,"MA0038","GM"
"MA0303","2PL",1.49378411530329,2.33677210572616,NA,NA,"MA0039","FT"
"MA0306","2PL",1.4686716081212,1.60916597940551,NA,NA,"MA0040","EE"
"MA0311","2PL",1.74916365065121,1.30082072233398,NA,NA,"MA0041","NS"
"MA0317","2PL",1.5472561378674,-0.443206609797415,NA,NA,"MA0042","EE"
"MA0329","2PL",1.4160115474237,-0.20521693139014,NA,NA,"MA0043","GM"
"MA0332","2PL",1.47875262712995,-1.57966049653932,NA,NA,"MA0044","EE"
"MA0349","2PL",1.4092003129956,1.06794230623504,NA,NA,"MA0045","NS"
"MA0354","2PL",1.65230935049275,-0.147845637359605,NA,NA,"MA0046","EE"
"MA0361","2PL",1.74122437119236,-2.44205804199923,NA,NA,"MA0047","NS"
"MA0362","2PL",1.69715485761811,1.31040460294256,NA,NA,"MA0048","SP"
"MA0367","2PL",1.46090174841842,1.37314795254486,NA,NA,"MA0049","GM"
"MA0370","2PL",1.59104137295256,-0.735889556204754,NA,NA,"MA0050","GM"
"MA0382","2PL",1.44588688136394,1.48339920040043,NA,NA,"MA0051","FT"
"MA0384","2PL",1.40866827650993,0.837021816506057,NA,NA,"MA0052","GM"
"MA0388","2PL",1.42739751764652,0.328647754756658,NA,NA,"MA0053","SP"
"MA0395","2PL",1.50124964495234,-0.132621357809065,NA,NA,"MA0054","SP"
"MA0398","2PL",1.45999335708256,0.0302754297966322,NA,NA,"MA0055","SP"
"MA0406","2PL",1.50782750766522,-0.0547816782853126,NA,NA,"MA0056","FT"
"MA0415","2PL",1.4535076018755,-0.468533750559564,NA,NA,"MA0057","EE"
"MA0417","2PL",1.77910036646232,1.10163196431026,NA,NA,"MA0058","EE"
"MA0423","2PL",1.67763255487536,-0.085333539297792,NA,NA,"MA0059","SP"
"MA0431","2PL",1.44463700738873,-1.46530450217492,NA,NA,"MA0060","GM"
"MA0441","2PL",1.40176514931281,0.228587551154171,NA,NA,"MA0061","GM"
"MA0458","2PL",1.64790886457063,-2.08552477044797,NA,NA,"MA0062","EE"
"MA0496","2PL",1.70079966230364,-1.17812667894315,NA,NA,"MA0063","SP"
"MA0504","2PL",1.76591637018348,0.228477453620098,NA,NA,"MA0064","NS"
"MA0505","2PL",1.46858784898736,1.07805031695382,NA,NA,"MA0065","EE"
"MA0509","2PL",1.44976510968768,1.86108858648129,NA,NA,"MA0066","GM"
"MA0513","2PL",1.42980012600859,-0.944128985567186,NA,NA,"MA0067","EE"
"MA0522","2PL",1.50242301876031,0.631707967373388,NA,NA,"MA0068","FT"
"MA0527","2PL",1.40100109270766,-0.168343877501848,NA,NA,"MA0069","SP"
"MA0535","2PL",1.60495933721705,1.9358334044341,NA,NA,"MA0070","NS"
"MA0538","2PL",1.46869519062222,1.67034186939218,NA,NA,"MA0071","FT"
"MA0545","2PL",1.43402168132053,2.03588915391699,NA,NA,"MA0072","GM"
